sentence_id	sentence	label_id	definition
3174	"Mary cycled <head>into</head> Berkeley 's ancient square and acknowledged a cheery greeting from ` Old Jesus , "" the bearded local tramp , who was resting on the Town Hall seat ."	66	moving or extending so as to end within (something) (e.g., ran into the house)
3175	Once out of the bustling grimy city and on our way we motored <head>into</head> the heart of rural England , through expanses of green rolling hills with the odd kestrel hovering by the roadside looking for prey , and just as the sun began to set we passed Stonehenge , the strange stone monoliths eerily silhouetted against the dusky pink horizon .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3176	` Liam Devlin , if it is Devlin they choose , is hardly going to parachute <head>into</head> the courtyard at St Mary 's Priory tomorrow night , Jack , and if he did , so what ?	66	moving or extending so as to end within (something) (e.g., ran into the house)
3177	"Squadrons parachute <head>into</head> simulated ` hostile "" territory ."	66	moving or extending so as to end within (something) (e.g., ran into the house)
3178	McCready jumped down , pulled his bicycle to the ground , waved his thanks at the old farmer , and pedalled <head>into</head> town .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3179	Late in the morning we rowed <head>into</head> the centre of the river .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3180	For a long time he gazed <head>into</head> the depths of the rice , muttering .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3181	And , as he smiled , he was gazing <head>into</head> the eyes of an extraordinarily beautiful dark-haired girl .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3182	Perhaps imagine yourself in a cosy armchair , gazing <head>into</head> a log fire , stroking the cat on your lap and sipping a glass of dandelion wine .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3183	His eyes gaze steadfastly <head>into</head> yours as you talk .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3184	Stealing a furtive glance <head>into</head> the mirror , Frankie was shocked to see another face , another pair of eyes in the glass .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3185	Lucy glanced <head>into</head> a couple of the rooms as they passed .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3186	Jessica glanced <head>into</head> her face .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3187	For one moment he looked <head>into</head> her eyes , then calmly she set down her cup upon the silver trolley , and with a murmur to the Grand Duchess rose to her feet .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3188	A peek <head>into</head> someone 's kettle will reveal either a clean element or one coated with a white , chalky substance , depending on the local water type .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3189	Carson took a peek <head>into</head> the brown paper on the Tube .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3190	I had a quick peek <head>into</head> the kitchen but it was empty .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3191	Lais ran through the villa peeking <head>into</head> rooms as she passed .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3192	Tuppe peeped <head>into</head> the bag .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3193	She peeped <head>into</head> the hall and drew back in shock .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3194	Juliet peered <head>into</head> her fruit juice .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3195	His mother was applying blue eyeshadow with a brush , drawing down her eyelids and peering <head>into</head> the mirror .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3196	Robyn flicked open her eyes and peered <head>into</head> the night .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3197	He paused for a second , staring <head>into</head> the fire .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3198	Hiding near the door , I could just see <head>into</head> the kitchen through a small uncurtained window .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3199	Through this hole I could see <head>into</head> the room next to the hut .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3200	He dipped a spoon <head>into</head> the boeuf bourguignon .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3201	She told me she did n't eat lunch any more as it had become a bourgeois meal , but I could call in for a cup of de-caff and con her <head>into</head> whatever it was I wanted .	75	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3202	"` What do you mean to do , "" demanded Harry , looking fiercely up at him from under drawn brows , ` now that you 've tricked me <head>into</head> this betrayal ?"	75	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3203	In the late 1980s the Cubans manipulated them <head>into</head> a needless confrontation in Angola , which lasted much longer than it should have done because , this time , the Washington team was clumsier .	75	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3204	Or has Lester manipulated me <head>into</head> this recklessness , like a schoolboy dare ?	75	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3205	Yet he made no attempt to harass the driver <head>into</head> any illegitimate speed .	75	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3206	There was no evidence that Berowne had started his own meal -- that in itself might be of some help in deciding on the approximate time of death -- but he had apparently either cajoled Harry <head>into</head> the church with the promise of a meal or , more likely , had supplied an obvious and immediate need before he was ready for his own share of the supper .	75	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3207	I suspected that Fenella had bullied him <head>into</head> it .	75	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3208	He might have bullied her mother <head>into</head> submission , but those tactics were n't going to work on her any more .	75	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3209	There was a shed at the back , about forty yards away from the house , and two hundred yards beyond this , the steelworks began , black at first , then glowing <head>into</head> savage flames .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3210	She jammed her fists <head>into</head> her pockets .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3211	Claire jams the black box <head>into</head> her shoulder bag .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3212	Donald jammed the shotgun <head>into</head> the crook of bone under Nathan 's jaw .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3213	The younger of the trio looked at McCann and Morton and decided he would be better advised not to try and reach the .38 he had jammed <head>into</head> his belt .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3214	The table was strewn with books and papers and candle-ends jammed <head>into</head> empty bottles , and the floor was similarly littered , but with boots and boxes .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3215	The silencer jammed <head>into</head> the muzzle of the .45 made the weapon look enormous .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3216	Girls , caught by the arm , have snow rubbed <head>into</head> their hair like salt into a herring .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3217	13:33 ) which causes the whole mixture to rise , or like salt rubbed <head>into</head> the meat to preserve and flavour it ( Luke 14:34 ) .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3218	The animals ' food often contains toxic test substances or they may be forced to swallow huge capsules or have toxic creams rubbed <head>into</head> their raw skin .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3219	So she crammed six big fellers <head>into</head> her front room , sat them down with rum and blankets , and the whole bunch snuggled up like they were queueing all night to buy tickets for the Test Match .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3220	"` May -- "" he started to say , but I crammed a cushion <head>into</head> his mouth before he could finish ."	74	moving or extending so as to end within (something) (e.g., ran into the house)
3221	"` This autobiography , "" Leo went on , cramming forks <head>into</head> the dishwasher ."	74	moving or extending so as to end within (something) (e.g., ran into the house)
3222	This may have been the result of cramming so much <head>into</head> a restricted space , but it diminishes the significance of the book as a whole .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3223	The contents of the saddle-bags he crammed <head>into</head> his wallet but there was more food than he could find room for .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3224	As the English were forced back , their archers belatedly came into action , but showered more arrows <head>into</head> the backs of their own troops than into Bruce's .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3225	His comrades , meanwhile , get to work with power drills and grinders , showering sparks <head>into</head> the front row and creating an industrial cacophony that mixes mysteriously with the piped classical backing track they 've picked to accompany their hellish instrumental .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3226	Paul Falltrick at Falltricks used Salon Formula Volume Builder and Forming Mousse , both by Clynol , to shape the curls <head>into</head> this beautifully elegant style .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3227	She unpacked quickly and changed from her travelling clothes into jeans and a warm sweatshirt , stopping to twist her unruly auburn curls <head>into</head> a topknot , then returned to Reception to ask for directions to the theatre .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3228	"` That idiot Amanda "" , Hortensia said , ` has let her long hair grow even longer during the hols and her mother has plaited it <head>into</head> pigtails ."	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3229	Here , a group of young Muslim girls in new mirror-work costumes were sitting cross-legged under the watchful eye of their father ; each one wore a tinsel hairband plaited <head>into</head> her pigtails .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3230	In 1990 Alvarez was abducted from his home in Guadalajara by bounty hunters and smuggled <head>into</head> the USA where he was delivered to the DEA .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3231	According to West Africa , diamond smuggling <head>into</head> Liberia from Sierra Leone had been estimated to yield about US$100 million annually , even before the conflict , and the mines were now a prime rebel objective .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3232	True ; but the government has already decided that the fares charged wherever private railways have a near-monopoly ( for example , commuter lines <head>into</head> London ) will be regulated .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3233	However , a faster alignment through a new King 's Cross station remains a possible alternative in spite of the opposition of the Treasury , which prefers a cheaper but roundabout line <head>into</head> St Pancras .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3234	Once inside she wriggled <head>into</head> the corner of the seat to make room for him , and prepared to enjoy the novelty .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3235	Hearing these words and seeing the speaker ride boldly toward him , the tiger was so alarmed that he turned tail and bolted <head>into</head> the forest .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3236	We exited <head>into</head> a back alley via the fire door .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3237	The mania persisted <head>into</head> the present century .	67	indicating a time period (being) entered (e.g., we are into the third week)
3238	Unless there is a truly successful arrangement for the coordination of this teaching in schools , the current confusion will persist <head>into</head> the next generation .	67	indicating a time period (being) entered (e.g., we are into the third week)
3239	A guard ushered them <head>into</head> the Beauchamp Tower and up into Mistress Philippa 's chamber on the second floor .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3240	Lydia watched Betty ushering the guests <head>into</head> the cottage .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3241	His cheerful rubicund face was graver than usual , and when she had ushered him <head>into</head> the dining-room he began without preliminary :	66	moving or extending so as to end within (something) (e.g., ran into the house)
3242	Catherine doubtfully puckered her lips when she saw the bedraggled red-eyed woman he ushered <head>into</head> her hallway , but her good nature got the better of her when she saw how badly Ixora was shivering .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3243	The first birds we see are a group of turnstones and a redshank , busily feeding in the park below the house , probing <head>into</head> the area of damaged grass where my neighbour 's sheep are fed .	68	indicating a topic of observation/analysis (e.g., inquiry into the cause)
3244	But what right had he to probe <head>into</head> her personal life ?	68	indicating a topic of observation/analysis (e.g., inquiry into the cause)
3245	` I was walking home from school and a masked man grabbed me and hauled me <head>into</head> a car .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3246	In the end they hauled the Gnomes <head>into</head> a small ante-room across the galleried landing from the Sun Chamber .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3247	` I was walking home from school and a masked man grabbed me and hauled me <head>into</head> a car .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3248	She looked very different from the girl who had hauled oysters <head>into</head> a sack and carried them to market .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3249	We hauled our weary bodies <head>into</head> the kitchen and make token gestures towards having breakfast .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3250	Next , long white streamers tied <head>into</head> an intricate pattern in the centre were handed to various women standing in the circle .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3251	He then placed the ledger on top , and locked the articles <head>into</head> the sturdy cupboard beside the chimney breast .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3252	They tie you <head>into</head> a body harness and clamp on ankle straps .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3253	They tied him <head>into</head> the car and set it alight .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3254	At midnight Phyl was still there sewing weights <head>into</head> the gauze curtaining to stop it flapping .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3255	"The meat was then skinned , dressed , cut into ` sides "" , sewn <head>into</head> canvas , and placed in refrigerator vans for distribution throughout Britain by the London and North-Western Railway ."	74	moving or extending so as to end within (something) (e.g., ran into the house)
3256	Carey fixed the rod <head>into</head> its vee and stooped to the fish .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3257	"A prisoner fixed a pole <head>into</head> the muddy soil , bearing the cardboard inscription : ` Good Fishing Here . """	74	moving or extending so as to end within (something) (e.g., ran into the house)
3258	When fixing <head>into</head> the ceiling , you should ensure that you screw directly into the joists .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3259	The animals are always chopped <head>into</head> small pieces and further reduced by boiling .	75	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3260	Sift together the flour , salt , cinnamon , nutmeg and baking soda , then blend it <head>into</head> the eggs .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3261	As the drumming built to a crescendo , the coffin lid snapped open , scattering coins <head>into</head> the dust .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3262	The President turned pale , vomited <head>into</head> the lap of Miyazawa and then collapsed to the floor .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3263	Pete pissed <head>into</head> the bucket , then began to scratch vigorously .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3264	He hated verbal theories , he did n't read much , he 'd never travelled outside the states , he punched people up , and when he was drunk at parties he pissed <head>into</head> the fireplace .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3265	SHe pissed <head>into</head> the tube and then turned on the shower .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3266	The doctor presses on Andy 's chest while his wife breathes <head>into</head> the boy 's mouth .	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3267	Place your lips around the child 's mouth and breathe <head>into</head> his lungs	71	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3268	Luckily he managed to escape <head>into</head> the darkness before being caught .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3269	As he moved to start dousing the flames , Ashley fled <head>into</head> the small whitewashed bedroom on the other side of the hall .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3270	The party 's leaders fled <head>into</head> exile in China , while the leaders of the mutiny entered into discussions with the government .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3271	They 'd been separated in the fracas which followed their parachute descent <head>into</head> northern France , and she feared that Jeanne had been killed in the fighting .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3272	Stout timber posts anchored <head>into</head> the ground are essential to prevent the edges collapsing .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3273	In a bid to protect the Yanomami Indians , Brazilian police and military are evacuating the illegal gold miners who have streamed <head>into</head> the Indian reserve in Roraima state .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3274	By the end of January Myanman refugees were also streaming <head>into</head> Thailand and India .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3275	The exodus of East Germans continued : 18,000 streamed <head>into</head> West Germany before their country took belated action to plug the last hole in its borders by requiring visas for all future trips to Czechoslovakia .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3276	He nodded a greeting to the other three visitors , who crowded <head>into</head> the cell as if they were playing some bizarre game of sardines .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3277	As I waited , doubts crowded <head>into</head> my mind .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3278	Hundreds of people crowded <head>into</head> St Briavels church last night to see the Reverend Patricia Pinkerton installed in her new parish .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3279	The Deutschmark is flooding <head>into</head> the investment-starved east , and the people have taken to wearing grins with their first designer labels .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3280	In spite of freezing temperatures , shoppers poured <head>into</head> Cheltenham in Gloucestershire for the second day of the annual sales .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3281	Once the programme was broadcast , the BBC received forty telephone calls and hundreds of letters poured <head>into</head> our recently acquired PO Box , many containing donations .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3282	"Hundreds of thousands of people poured <head>into</head> the streets to watch the firework display - a fact which , Mr Deng boasted , proves that ` China 's social order has returned to normal "" ."	74	moving or extending so as to end within (something) (e.g., ran into the house)
3283	One of the busiest streets was Fisherton for hundreds of country people flocked <head>into</head> the City , taking advantage of the very economical Saturday tickets offered by the railway .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3284	THE sun 's out and hundreds of Merseysiders are flocking <head>into</head> their gardens for a good old barbie .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3285	"Apparently , she typed a message <head>into</head> the Belial Base neural net , right where the viruses that Legion 's agent planted there would find it and transmit it back here . """	66	moving or extending so as to end within (something) (e.g., ran into the house)
3286	First , we tried a direct approach and ground up polarizing region cells and put the mixture <head>into</head> agar blocks which we then grafted to the anterior margin .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3287	It would have been quite possible to put something <head>into</head> the pockets of my dressing gown and then put it back into my clothes when I took the dressing gown off .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3288	Toad tadpoles put <head>into</head> acid water develop severe leg abnormalities .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3289	Around 3,500 of Britain 's industrial processes will have to be justified to the inspectorate for the pollution they put <head>into</head> the environment on land , into the air and into water .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3290	People whose parents baptised them <head>into</head> the Roman Catholic Church will probably be counted as Catholics all their lives -- even if they never go to church ; for people to be counted as Baptists , however , they will have to have expressed a strong commitment to their faith and to have undergone adult baptism .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3291	Pilot F/O E Foit bailed out of the stricken Hurricane , and the aircraft crashed almost vertically <head>into</head> the Loch .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3292	A DOWNS Syndrome sufferer was attacked when he accidentally bumped <head>into</head> a man , a court heard .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3293	When they ran out of moonlight , he had a bat 's sixth sense in the darkness , a quality not shared by Sam who bumped into him repeatedly , nor by Rose who bumped <head>into</head> Sam .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3294	If this was not so we would forever be bumping <head>into</head> things ; it would be impossible to pass through a doorway without banging into the doorpost or to cross a room without tripping over the furniture .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3295	A NURSE smiled and pulled faces at a friend just before a van ploughed <head>into</head> the back of her car , causing fatal injuries .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3296	The two girls died when the car ploughed <head>into</head> them from behind as they skipped along a pavement .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3297	Henry kept banging <head>into</head> the wooden props that held up the mill floor ; it was like being in a coal-mine .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3298	He did n't dare switch his light back on , and he banged <head>into</head> some shelves in the darkness .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3299	A cloud of metal , glass and debris smashed <head>into</head> the car , whirled inside momentarily and was sucked out again .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3300	A car smashed <head>into</head> her rear end as she dithered over which direction to take .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3301	The bullet smashed <head>into</head> the nearest keg .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3302	The T-Rex singer was 29 when his car smashed <head>into</head> the tree 15 years ago .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3303	Metal smashed <head>into</head> his windpipe .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3304	Perutz froze the compound <head>into</head> an argon matrix , and irradiated the molecule with light .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3305	Linen and lace had rotted <head>into</head> cobwebs on the beds , where now there were only twisted brass bones .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3306	It looks like a sagging , browny-grey jelly that fairly rapidly decays <head>into</head> an unpleasant mush .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3307	From the script it tells you that after this nuclear war the creatures are supposed to have decayed <head>into</head> these horrible shapes , almost armless and legless , dependent on machines to give them any mobility .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3308	With a flourish he drew a line at the bottom , screwed on the top of his fountain pen and hooked it <head>into</head> a buckle on his braces .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3309	I told her my name , who I was , and that you were old , but in good health , and had journeyed very far <head>into</head> the wood .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3310	Excursions <head>into</head> inner space are proving far more dangerous than man 's ventures into outer space .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3311	If you are not going to be carrying heavy weights over rough ground , a range of very lightweight boots becomes available for those short excursions <head>into</head> the country .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3312	` Forget taking the train for an evening at the theatre or the weekend family excursion <head>into</head> the country .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3313	She was disappointed , having glimpsed the possibility of returning from this expedition <head>into</head> the cultural heart of darkness with some creditable achievement to report to Charles and Penny Black .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3314	Even hardy explorers needed strongpoints to which they could return after exhausting expeditions <head>into</head> unknown regions .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3315	Take a tiny ball of fondant and flatten <head>into</head> a petal shape .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3316	Vologsky seized the form , crumpling it <head>into</head> a ball in his palm .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3317	The Princesse crumpled the telegram <head>into</head> a tight ball .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3318	Crushing the letter <head>into</head> a ball , he dropped it in .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3319	Jack plucked the flower out of his morning coat and closed his fist slowly over it , crushing it <head>into</head> a pulp .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3320	Bricks rained around him , crushing him <head>into</head> the street .	70	to a position of contact with, typically used with verbs expressing forceful motion or collision (e.g., rammed into him)
3321	To keep Tubifex worms , the aquarium must have a layer of mud on the bottom and a supply of fresh-water continuously dripping <head>into</head> the aquarium .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3322	They are the people who stop drugs flowing <head>into</head> Britain .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3323	The HeI stars are known to be at the Galactic Centre because many are coincident with temperature peaks in the dust associated with the spiral of ionized gas flowing <head>into</head> the centre .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3324	Finally , if he gets pain at night he should sleep on an extra pillow or raise the head of the bed a few inches to stop the gastric juices flowing upwards <head>into</head> his chest .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3325	Taiwanese investment has been flowing <head>into</head> the mainland since the early 1980s , but in the past year the flow has become a flood .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3326	The sweat was running down from his hair line and trickling <head>into</head> his eyes .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3327	An avalanche of mud cascaded <head>into</head> the waste-paper basket .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3328	Thus we are accumulating in our local rubbish dumps tons of baby excreta , some of it infected , which sooner or later will dribble <head>into</head> our water supply .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3329	Two had broken and egg-yolk oozed <head>into</head> the cracks of paving-stones .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3330	It is likely to be frightened in the dark , and there is always the possibility of exhaust fumes leaking <head>into</head> this compartment , sometimes with deadly effects .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3331	Some 9,000 tonnes of molasses leaked <head>into</head> the Nam Pong river in mid-March , subsequently spreading to the Chee and Mool .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3332	As long as the hole remains clear of debris , if a pipe should split , air leaking <head>into</head> the system through the hole should limit any mess and prevent an accident from turning into a catastrophe .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3333	When the sound of high-flying aircraft began to soak <head>into</head> the atmosphere people stopped talking but looked more interested than afraid .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3334	Donna could feel perspiration soaking <head>into</head> her blouse and droplets beading on her forehead .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3335	The juices soaked <head>into</head> the white grains , staining them brown .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3336	He was dressed and had smarmed his hair down with water so generously that the droplets ran down his forehead and soaked <head>into</head> his shirt .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3337	It is not yet know how the oil which soaked <head>into</head> the stones will affect their long-term weathering .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3338	The mix forms a slurry which is rolled out and heated to remove water , then thickened <head>into</head> a solid strip .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3339	As the three of them proceeded <head>into</head> Caucasia , they disturbed flocks of pelican , whose earthbound ungainliness was miraculously transfigured by flight .	66	moving or extending so as to end within (something) (e.g., ran into the house)
3340	Now in the carp 's case , it matters very little how hard the food is because its pharyngeal teeth are designed to grind the food <head>into</head> a pulp which can then enter the digestive tract or gut .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3341	Squeezing her fist together she crumbled it <head>into</head> fine powdery dust .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3342	Squeezing her fist together she crumbled it <head>into</head> fine powdery dust .	69	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
3343	Crumble the softened butter <head>into</head> the flour , sprinkling in the rice flour or cornflour at intervals , as and when the butter seems to be getting sticky .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3344	The lorries came and went on a service road near the town ; on some days the bulldozer clanked back and forth , crushing the rubbish <head>into</head> the soft , orange earth .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3345	The smell of stale beer and cigarette smoke spilled <head>into</head> the back-stage corridors as we groped along in search of my dressing room .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3346	At the same moment , a rush of flame came from the rear , followed by a flock of fire-arrows streaming <head>into</head> the rigging .	74	moving or extending so as to end within (something) (e.g., ran into the house)
3347	She drew back the curtains and the sun streamed <head>into</head> the room .	74	moving or extending so as to end within (something) (e.g., ran into the house)
